id,source,ref,line,summary,status,priority,owner,area,acceptance,next_action,target_phase
TM-001,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L163,163,"data-knowledge-model.md | DAT-097 | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | ./docs/ISA_NEWS_HUB_SELF_CHECK_ASSESSMENT.md | Phase 2: Short-Term (Next Sprint) | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | traceable",OPEN,P2,,client,,,
TM-002,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L234,234,governance-iron-protocol.md | GOV-068 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable,OPEN,P2,,client,,,
TM-003,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L235,235,governance-iron-protocol.md | GOV-069 | 2. **User Decision Required:** Determine ISA license | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 2. **User Decision Required:** Determine ISA license | traceable,OPEN,P2,,client,,,
TM-004,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L244,244,governance-iron-protocol.md | GOV-078 | - Ensure procedures are comprehensive and current | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Short-Term (Next 14 Days) | - Ensure procedures are comprehensive and current | traceable,OPEN,P2,,spec,,,
TM-005,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L245,245,governance-iron-protocol.md | GOV-079 | - Validate security monitoring is working | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Medium-Term (Next 30 Days) | - Validate security monitoring is working | traceable,OPEN,P0,,spec,,,
TM-006,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L257,257,"governance-iron-protocol.md | GOV-091 | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow must be verified in the next step (see Section 4). | ./docs/evidence/ISA_IRON_DOCSET_AND_CRITICAL_PATH_DECISION_DRAFT_v0.md | C. Baseline discoverability artefacts (strongly recommended, low-cost) | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow mus | traceable",OPEN,P2,,ops,,,
TM-007,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L299,299,ingestion-update-lifecycle.md | ING-033 | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | traceable,OPEN,P2,,client,,,
TM-008,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L300,300,ingestion-update-lifecycle.md | ING-034 | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | traceable,OPEN,P2,,client,,,
TM-009,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L301,301,ingestion-update-lifecycle.md | ING-035 | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for database columns - tests must use TypeScript property names | ./todo.md | Meta-Learnings | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for da | traceable,OPEN,P2,,spec,,,
TM-010,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L302,302,ingestion-update-lifecycle.md | ING-036 | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | traceable,OPEN,P2,,client,,,
TM-011,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L303,303,ingestion-update-lifecycle.md | ING-037 | - [x] Seed helpers must work within transaction context | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Seed helpers must work within transaction context | traceable,OPEN,P2,,client,,,
TM-012,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L304,304,ingestion-update-lifecycle.md | ING-038 | **STATUS: ALREADY COMPLIANT** ✅ No changes required. | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | **STATUS: ALREADY COMPLIANT** ✅ No changes required. | traceable,OPEN,P2,,client,,,
TM-013,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L305,305,ingestion-update-lifecycle.md | ING-039 | - [x] Must not be default (verified) | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Must not be default (verified) | traceable,OPEN,P2,,client,,,
TM-014,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L306,306,ingestion-update-lifecycle.md | ING-040 | - [x] Update docs/CI_TESTING.md ONLY if required (not required) | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Update docs/CI_TESTING.md ONLY if required (not required) | traceable,OPEN,P2,,client,,,
TM-015,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L307,307,ingestion-update-lifecycle.md | ING-041 | - [x] Deliverable: No PR required - existing implementation already compliant with spec | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Deliverable: No PR required - existing implementation already compliant with spec | traceable,OPEN,P2,,client,,,
TM-016,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L308,308,ingestion-update-lifecycle.md | ING-042 | - [x] Display delta analysis (5 required fields) on event detail page | ./todo.md | Step 4: Minimal UI | - [x] Display delta analysis (5 required fields) on event detail page | traceable,OPEN,P2,,client,,,
TM-017,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L309,309,"ingestion-update-lifecycle.md | ING-043 | **Future Enhancements (Optional, NOT required for ISA-GRADE):** | ./todo.md | 🔒 BASELINE FROZEN — ISA News Hub v2 (25 January 2026) | **Future Enhancements (Optional, NOT required for ISA-GRADE):** | traceable",OPEN,P2,,client,,,
TM-018,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L310,310,"ingestion-update-lifecycle.md | ING-044 | - [ ] Test on desktop browsers (Chrome, Safari) - USER TESTING REQUIRED | ./todo.md | Desktop Dropdown Fix | - [ ] Test on desktop browsers (Chrome, Safari) - USER TESTING REQUIRED | traceable",OPEN,P2,,client,,,
TM-019,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L346,346,ingestion-update-lifecycle.md | ING-080 | - [ ] Validate gs1ImpactTags inference quality | ./todo.md | 5.4 Tests | - [ ] Validate gs1ImpactTags inference quality | traceable,OPEN,P2,,spec,,,
TM-020,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L347,347,ingestion-update-lifecycle.md | ING-081 | - [ ] Validate sectorTags inference quality | ./todo.md | 5.4 Tests | - [ ] Validate sectorTags inference quality | traceable,OPEN,P2,,spec,,,
TM-021,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L348,348,ingestion-update-lifecycle.md | ING-082 | - [ ] Verify query performance | ./todo.md | 6.4 Tests | - [ ] Verify query performance | traceable,OPEN,P2,,spec,,,
TM-022,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L349,349,ingestion-update-lifecycle.md | ING-083 | - [x] Verify UI rendering with real data | ./todo.md | 8.1 Coverage Analytics Dashboard ✅ COMPLETE | - [x] Verify UI rendering with real data | traceable,OPEN,P2,,client,,,
TM-023,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L350,350,"ingestion-update-lifecycle.md | ING-084 | - [x] Verify production readiness and performance impact (TypeScript 0 errors, dev server running) | ./todo.md | 8.2 Pipeline Observability ✅ COMPLETE | - [x] Verify production readiness and performance impact (TypeScript 0 errors, dev server running) | traceable",OPEN,P2,,ops,,,
TM-024,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L351,351,ingestion-update-lifecycle.md | ING-085 | - [ ] Verify all new sources ingesting | ./todo.md | 9.4 Final Validation | - [ ] Verify all new sources ingesting | traceable,OPEN,P2,,spec,,,
TM-025,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L352,352,ingestion-update-lifecycle.md | ING-086 | - [ ] Verify AI tagging quality | ./todo.md | 9.4 Final Validation | - [ ] Verify AI tagging quality | traceable,OPEN,P2,,spec,,,
TM-026,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L353,353,ingestion-update-lifecycle.md | ING-087 | - [ ] Verify UI rendering correctly | ./todo.md | 9.4 Final Validation | - [ ] Verify UI rendering correctly | traceable,OPEN,P2,,client,,,
TM-027,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L354,354,ingestion-update-lifecycle.md | ING-088 | - [ ] Verify coverage analytics working | ./todo.md | 9.4 Final Validation | - [ ] Verify coverage analytics working | traceable,OPEN,P2,,spec,,,
TM-028,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L355,355,ingestion-update-lifecycle.md | ING-089 | - [ ] Verify documentation accuracy | ./todo.md | 9.4 Final Validation | - [ ] Verify documentation accuracy | traceable,OPEN,P2,,spec,,,
TM-029,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L356,356,ingestion-update-lifecycle.md | ING-090 | - [ ] Validate existing `compute_advisory_diff.cjs` script | ./todo.md | Priority 3: Advisory Diff Tracking (Version Discipline) | - [ ] Validate existing `compute_advisory_diff.cjs` script | traceable,OPEN,P2,,ops,,,
TM-030,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L357,357,ingestion-update-lifecycle.md | ING-091 | - [x] Ensure GS1 Style Guide compliance | ./todo.md | Regulatory Change Log Public UI ✅ | - [x] Ensure GS1 Style Guide compliance | traceable,OPEN,P2,,client,,,
TM-031,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L358,358,ingestion-update-lifecycle.md | ING-092 | - [x] Validate GS1 Style Guide compliance | ./todo.md | Testing & Quality ⏳ | - [x] Validate GS1 Style Guide compliance | traceable,OPEN,P2,,client,,,
TM-032,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L359,359,ingestion-update-lifecycle.md | ING-093 | - [x] Verify traceability (source URL + SHA256) | ./todo.md | Testing & Quality ⏳ | - [x] Verify traceability (source URL + SHA256) | traceable,OPEN,P2,,spec,,,
TM-033,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L360,360,ingestion-update-lifecycle.md | ING-094 | - [x] Verify GS1 Netherlands involvement (2 contributors) | ./todo.md | Phase 2.4: GS1 NL/Europe Documentation Discovery ✅ | - [x] Verify GS1 Netherlands involvement (2 contributors) | traceable,OPEN,P2,,spec,,,
TM-034,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L361,361,ingestion-update-lifecycle.md | ING-095 | - [x] Verify TypeScript compilation (no errors) | ./todo.md | tRPC Router Integration ✅ | - [x] Verify TypeScript compilation (no errors) | traceable,OPEN,P2,,spec,,,
TM-035,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L362,362,ingestion-update-lifecycle.md | ING-096 | - [x] Verify dev server health (running successfully) | ./todo.md | tRPC Router Integration ✅ | - [x] Verify dev server health (running successfully) | traceable,OPEN,P2,,spec,,,
TM-036,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L363,363,ingestion-update-lifecycle.md | ING-097 | - [x] Verify correct retrieval of ESRS E5 → GS1 Circular Economy Attributes mapping | ./todo.md | Phase 4.3: Test Ask ISA with GS1-ESRS mapping queries ✅ | - [x] Verify correct retrieval of ESRS E5 → GS1 Circular Economy Attributes mapping | traceable,OPEN,P2,,ops,,,
TM-037,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L364,364,"ingestion-update-lifecycle.md | ING-098 | - [x] Verify data integrity (15+ mappings, ESRS E1/E5 coverage) | ./todo.md | Phase 6: Production hardening with vitest tests ✅ | - [x] Verify data integrity (15+ mappings, ESRS E1/E5 coverage) | traceable",OPEN,P2,,spec,,,
TM-038,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L365,365,"ingestion-update-lifecycle.md | ING-099 | - [x] Verify data accuracy (13 mappings, 62.5% coverage, 3 gaps) | ./todo.md | Phase 7: Frontend Integration (Autonomous Development - Dec 16, 2025) ✅ COMPLETE | - [x] Verify data accuracy (13 mappings, 62.5% coverage, 3 gaps) | traceable",OPEN,P2,,client,,,
TM-039,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L366,366,ingestion-update-lifecycle.md | ING-100 | - [x] Verify ESRS Datapoints tab loads without errors | ./todo.md | Schema Fix | - [x] Verify ESRS Datapoints tab loads without errors | traceable,OPEN,P2,,spec,,,
TM-040,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L404,404,"retrieval-embeddings-grounding.md | RET-010 | **Rationale:** Many next-generation capabilities (reasoning-optimized LLMs, VLMs, autonomous agents) have significantly higher per-query costs than current ISA operations. Cost models must be sustaina | ./ISA_CAPABILITY_MAP.md | Constraint 1: Cost Sustainability | **Rationale:** Many next-generation capabilities (reasoning-optimized LLMs, VLMs, autonomous agents) | traceable",OPEN,P2,,spec,,,
TM-041,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L416,416,"retrieval-embeddings-grounding.md | RET-022 | This plan prioritizes the resolution of critical inconsistencies and stack conflicts, structured into sequential gates. Each gate must be successfully passed before the next can begin. | ./docs/ISA_COMPARATIVE_REFACTOR_GATE_PLAN.md | Task 3: Prioritized Refactor Plan with Acceptance Gates | This plan prioritizes the resolution of critical inconsistencies and stack conflicts, structured int | traceable",OPEN,P2,,ops,,,
TM-042,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L428,428,"retrieval-embeddings-grounding.md | RET-034 | As ISA explores next-generation capabilities, certain architectural principles and constraints should guide implementation decisions to ensure the platform remains maintainable, cost-effective, and al | ./ISA_CAPABILITY_MAP.md | Architectural Principles and Constraints | As ISA explores next-generation capabilities, certain architectural principles and constraints shoul | traceable",OPEN,P2,,client,,,
TM-043,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L431,431,retrieval-embeddings-grounding.md | RET-037 | - **Feature Flags:** All next-generation capabilities should be gated behind feature flags to enable selective deployment and A/B testing | ./ISA_CAPABILITY_MAP.md | Principle 1: Preserve Optionality | - **Feature Flags:** All next-generation capabilities should be gated behind feature flags to enable | traceable,OPEN,P2,,ops,,,
TM-044,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L439,439,"retrieval-embeddings-grounding.md | RET-045 | The current ISA implementation provides a **stable baseline** with proven capabilities in automated news aggregation, RAG-powered Q&A, regulation tracking, and standards mapping. Next-generation capab | ./ISA_CAPABILITY_MAP.md | Conclusion: From Exploration to Validation | The current ISA implementation provides a **stable baseline** with proven capabilities in automated | traceable",OPEN,P2,,spec,,,
TM-045,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L443,443,retrieval-embeddings-grounding.md | RET-049 | 11. **If Agents Validate:** Explore proactive assistant scenario (Scenario B) with Approach 5C (LLM trend analysis) | ./ISA_CAPABILITY_MAP.md | Recommended Next Steps | 11. **If Agents Validate:** Explore proactive assistant scenario (Scenario B) with Approach 5C (LLM | traceable,OPEN,P2,,spec,,,
TM-046,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L447,447,"retrieval-embeddings-grounding.md | RET-053 | The existing ISA implementation is a valuable asset, not a constraint. Next-generation capabilities should enhance ISA's value proposition incrementally rather than requiring wholesale replacement. Th | ./ISA_CAPABILITY_MAP.md | Final Recommendations | The existing ISA implementation is a valuable asset, not a constraint. Next-generation capabilities | traceable",OPEN,P2,,client,,,
TM-047,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L448,448,"retrieval-embeddings-grounding.md | RET-054 | 3. **Make context append-only.** ISA's agent loops should never modify previous actions or observations retroactively. Verify that todo.md updates, knowledge base additions, and pipeline logs are stri | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 1.1 The KV-Cache Imperative | 3. **Make context append-only.** ISA's agent loops should never modify previous actions or observati | traceable",OPEN,P2,,ops,,,
TM-048,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L455,455,"retrieval-embeddings-grounding.md | RET-061 | 3. **Pin a compact, living plan.** ISA's todo.md should be kept minimal (not exhaustive) and updated each loop. This pushes the global plan into the model's recent attention span, avoiding ""lost-in-th | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 1.3 Modular Prompt Structure | 3. **Pin a compact, living plan.** ISA's todo.md should be kept minimal (not exhaustive) and updated | traceable",OPEN,P2,,spec,,,
TM-049,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L456,456,"retrieval-embeddings-grounding.md | RET-062 | 2. **Update todo.md every loop during complex tasks.** ISA's typical 50-tool-call loops should update todo.md at key milestones (e.g., after each ingestion phase, after each RAG query batch) to mainta | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 2.1 Todo.md as Attention Manipulation | 2. **Update todo.md every loop during complex tasks.** ISA's typical 50-tool-call loops should updat | traceable",OPEN,P2,,spec,,,
TM-050,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L509,509,evaluation-governance-reproducibility.md | EVA-015 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable,OPEN,P2,,client,,,
TM-051,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L510,510,evaluation-governance-reproducibility.md | EVA-016 | 2. **User Decision Required:** Determine ISA license | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 2. **User Decision Required:** Determine ISA license | traceable,OPEN,P2,,client,,,
TM-052,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L515,515,evaluation-governance-reproducibility.md | EVA-021 | - Ensure procedures are comprehensive and current | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Short-Term (Next 14 Days) | - Ensure procedures are comprehensive and current | traceable,OPEN,P2,,ops,,,
TM-053,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L516,516,evaluation-governance-reproducibility.md | EVA-022 | - Validate security monitoring is working | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Medium-Term (Next 30 Days) | - Validate security monitoring is working | traceable,OPEN,P0,,ops,,,
